web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Burn,Newcastle,2,5.0,2.0,0.71,3.67,2.0,1.35
Munetsi,Wolves,3,5.3,0.0,2.02,2.33,0.0,1.34
Kevin,Fulham,3,5.8,0.0,2.52,3.33,0.0,1.34
Longstaff,Leeds,3,4.8,0.0,2.31,3.0,-0.5,1.32
Bruun Larsen,Burnley,3,5.2,0.0,2.41,3.33,-0.5,1.3
Bergvall,Spurs,3,5.2,0.5,1.58,2.67,0.5,1.3
Nketiah,Crystal Palace,4,5.4,0.0,2.23,3.0,0.0,1.29
Sánchez,Chelsea,1,4.8,2.5,0.04,3.67,2.5,1.28
Lammens,Man Utd,1,5.1,2.0,0.0,2.67,2.5,1.27
Cullen,Burnley,3,4.9,0.0,2.3,3.33,0.0,1.25
Gudmundsson,Leeds,2,3.8,-1.0,3.13,3.0,-1.1,1.25
Laurent,Burnley,3,4.8,1.0,1.29,3.33,0.0,1.25
Savona,Nott'm Forest,2,4.5,0.0,1.79,2.33,0.0,1.25
Isak,Liverpool,4,10.3,0.0,2.11,3.0,0.5,1.24
Wan-Bissaka,West Ham,2,4.1,1.0,0.93,2.67,1.5,1.24
Adama,West Ham,3,5.1,1.0,0.9,2.67,1.5,1.23
J.Palhinha,Spurs,3,5.5,0.0,1.88,2.67,0.0,1.22
A.Becker,Liverpool,1,5.4,2.0,0.03,3.0,0.0,1.21
Tanaka,Leeds,3,4.8,0.5,1.5,3.0,0.0,1.2
Donnarumma,Man City,1,5.6,2.0,0.0,3.0,2.0,1.2
Tchaouna,Burnley,3,4.8,0.5,1.64,3.33,0.0,1.19
Konaté,Liverpool,2,5.5,0.0,1.96,3.0,0.5,1.18
Potts,West Ham,3,4.4,0.5,1.27,2.67,1.0,1.17
Röhl,Everton,3,5.0,1.0,0.71,2.67,1.0,1.15
Lucas Pires,Burnley,2,3.8,0.5,1.53,3.33,0.0,1.15
Gomez,Liverpool,2,4.9,1.0,0.85,3.0,1.5,1.14
Ugarte,Man Utd,3,4.7,1.0,0.65,2.67,1.5,1.13
Gruev,Leeds,3,4.7,0.5,1.31,3.0,0.0,1.12
James,Leeds,3,5.2,0.5,1.3,3.0,0.0,1.12
Yates,Nott'm Forest,3,4.7,1.0,0.41,2.33,1.0,1.1
Gallagher,Spurs,3,5.1,0.5,1.04,2.67,0.5,1.08
Baleba,Brighton,3,4.5,0.5,0.84,2.33,1.0,1.07
Maguire,Man Utd,2,4.4,0.5,1.0,2.67,0.0,1.07
Armstrong,Everton,3,4.5,0.5,1.0,2.67,0.5,1.07
Alcaraz,Everton,3,5.2,0.0,1.48,2.67,0.0,1.06
Cairney,Fulham,3,4.8,0.5,1.31,3.33,0.0,1.06
G.Jesus,Arsenal,4,6.4,0.0,1.94,3.67,1.0,1.04
N.Gonzalez,Man City,3,5.9,0.0,1.56,3.0,0.0,1.02
Walker-Peters,West Ham,2,4.2,0.0,1.39,2.67,0.5,1.02
Kamara,Aston Villa,3,4.9,0.0,1.36,2.67,0.0,1.01
Bakwa,Nott'm Forest,3,5.9,0.0,1.18,2.33,0.0,1.01
Mundle,Sunderland,3,4.9,0.0,1.35,2.67,0.0,1.01
Møller Wolfe,Wolves,2,4.2,0.0,1.17,2.33,-0.5,1.0
Hato,Chelsea,2,4.6,1.0,0.78,3.67,1.0,0.98
S.Magassa,West Ham,3,5.0,0.5,0.76,2.67,1.0,0.97
Lewis,Man City,2,4.6,0.0,1.42,3.0,0.0,0.97
Gittens,Chelsea,3,6.0,0.0,1.75,3.67,0.0,0.97
Agbadou,Wolves,2,4.2,0.0,0.97,2.33,0.0,0.92
Füllkrug,West Ham,4,5.6,0.0,1.14,2.67,0.0,0.92
Bentancur,Spurs,3,5.2,0.0,1.13,2.67,0.0,0.92
Morato,Nott'm Forest,2,4.3,0.0,0.91,2.33,0.0,0.9
Ajer,Brentford,2,4.4,0.0,1.41,3.33,0.0,0.9
Schär,Newcastle,2,5.2,0.0,1.57,3.67,0.0,0.89
Rúben,Man City,2,5.5,0.0,1.2,3.0,0.0,0.88
